iter	Logloss
0	0.6823625111
1	0.6726330601
2	0.6645249416
3	0.6576582856
4	0.6511255343
5	0.6448548517
6	0.6403147212
7	0.6353667945
8	0.6311512567
9	0.6271248923
10	0.6232352448
11	0.6199724007
12	0.6174412604
13	0.6146290034
14	0.6125140761
15	0.6102724494
16	0.6085621123
17	0.6071203691
18	0.6058456816
19	0.6043197667
20	0.6030940141
21	0.6016266767
22	0.6006390053
23	0.5996947454
24	0.5987146827
25	0.5977511013
26	0.596857393
27	0.5961711762
28	0.5955165905
29	0.5947858181
30	0.5940774091
31	0.5934069906
32	0.592766233
33	0.5923017046
34	0.5918667748
35	0.5914157742
36	0.5908603172
37	0.590333717
38	0.5899682046
39	0.5895960743
40	0.5891848259
41	0.5887650671
42	0.5884262536
43	0.5880862932
44	0.5878222421
45	0.5873969167
46	0.5870657844
47	0.586798159
48	0.5865033403
49	0.5861774135
50	0.5859664395
51	0.5857155497
52	0.5854564425
53	0.5851100423
54	0.5849191968
55	0.5846493699
56	0.5844802584
57	0.5842657011
58	0.5839385098
59	0.5836851303
60	0.5833217521
61	0.5830393009
62	0.5828421819
63	0.5826145717
64	0.5823424412
65	0.5820838532
66	0.5819406815
67	0.5818144953
68	0.5816612378
69	0.581467735
70	0.5810523863
71	0.5809035318
72	0.58076791
73	0.580601362
74	0.5804328769
75	0.5802107355
76	0.5799801383
77	0.5798505359
78	0.5796866743
79	0.5795651841
80	0.5794103062
81	0.5792571099
82	0.5790696662
83	0.5789378713
84	0.5787372929
85	0.5785930778
86	0.5784202837
87	0.5782131265
88	0.5780823359
89	0.5778674323
90	0.5776590068
91	0.5775162226
92	0.5773336768
93	0.5771717332
94	0.5767716539
95	0.5765425872
96	0.5762851591
97	0.5760754581
98	0.5759578933
99	0.5757527195
100	0.5756489518
101	0.5754167389
102	0.5751741421
103	0.5748770069
104	0.5747502736
105	0.5744567942
106	0.5741889773
107	0.5738998159
108	0.5736672261
109	0.573429994
110	0.5729948675
111	0.5727992351
112	0.5726164341
113	0.5724016229
114	0.572175102
115	0.5719934289
116	0.5717969395
117	0.571620533
118	0.5715335085
119	0.5712030439
120	0.5710394425
121	0.5708521893
122	0.5706201387
123	0.5704296506
124	0.5701635028
125	0.5699474655
126	0.5698788553
127	0.5696588053
128	0.5695435098
129	0.5693742916
130	0.5691510928
131	0.5689844262
132	0.5689099174
133	0.5687983649
134	0.5686369221
135	0.5684261155
136	0.5682063506
137	0.5680619064
138	0.5679704377
139	0.5677788918
140	0.5676461392
141	0.567576415
142	0.5673189887
143	0.5672025026
144	0.5671305683
145	0.5669435014
146	0.5668009419
147	0.5666406564
148	0.5664885146
149	0.5663434711
150	0.5661991208
151	0.5659757217
152	0.5656966589
153	0.5655585418
154	0.5653632976
155	0.5652498236
156	0.5650208958
157	0.5649077342
158	0.5647316413
159	0.5645416829
160	0.5643430798
161	0.5641290409
162	0.5639058436
163	0.5637025497
164	0.5634451043
165	0.563216758
166	0.5631758564
167	0.5629618122
168	0.5628000502
169	0.5625629549
170	0.5623184988
171	0.5621784419
172	0.562033172
173	0.5619242355
