iter	Passed	Remaining
0	48	48533
1	128	64245
2	181	60454
3	250	62469
4	294	58703
5	351	58261
6	405	57479
7	459	56961
8	510	56185
9	552	54652
10	604	54356
11	664	54740
12	725	55114
13	774	54536
14	820	53869
15	882	54253
16	933	54000
17	1016	55466
18	1123	58001
19	1206	59141
20	1287	60017
21	1316	58521
22	1367	58101
23	1421	57796
24	1470	57357
25	1516	56817
26	1567	56470
27	1615	56084
28	1679	56246
29	1729	55918
30	1773	55441
31	1817	54980
32	1907	55909
33	1960	55708
34	2017	55633
35	2062	55232
36	2148	55911
37	2203	55791
38	2259	55678
39	2302	55262
40	2354	55067
41	2432	55478
42	2468	54939
43	2504	54412
44	2559	54326
45	2610	54142
46	2657	53893
47	2734	54225
48	2776	53887
49	2833	53840
50	2882	53637
51	2963	54024
52	3012	53832
53	3060	53621
54	3106	53382
55	3159	53254
56	3212	53140
57	3285	53363
58	3326	53053
59	3372	52834
60	3414	52564
61	3456	52292
62	3546	52752
63	3596	52596
64	3655	52576
65	3710	52511
66	3768	52480
67	3861	52927
68	3908	52731
69	3960	52615
70	4010	52471
71	4054	52258
72	4124	52380
73	4172	52216
74	4218	52031
75	4253	51714
76	4296	51504
77	4359	51526
78	4408	51398
79	4469	51402
80	4523	51318
81	4564	51105
82	4620	51046
83	4668	50910
84	4716	50768
85	4761	50601
86	4817	50551
87	4864	50411
88	4926	50423
89	4961	50161
90	5002	49968
91	5041	49760
92	5083	49579
93	5110	49261
94	5173	49282
95	5223	49185
96	5273	49089
97	5322	48987
98	5375	48919
99	5431	48884
100	5495	48914
101	5543	48808
102	5591	48695
103	5638	48574
104	5702	48608
105	5748	48486
106	5796	48379
107	5854	48351
108	5909	48303
109	5979	48378
110	6027	48273
111	6082	48224
112	6133	48141
113	6189	48106
114	6260	48177
115	6311	48094
116	6352	47943
117	6388	47748
118	6448	47740
119	6502	47686
120	6582	47821
121	6641	47799
122	6694	47733
123	6739	47609
124	6803	47624
125	6834	47407
126	6883	47318
127	6943	47302
128	7000	47265
129	7058	47235
130	7137	47349
131	7182	47230
132	7230	47135
133	7277	47034
134	7315	46876
135	7375	46853
136	7447	46916
137	7511	46921
138	7558	46817
139	7593	46646
140	7631	46493
141	7680	46409
142	7755	46478
143	7821	46497
144	7868	46399
145	7924	46351
146	7983	46326
147	8045	46315
148	8105	46296
149	8142	46142
150	8194	46072
151	8245	46002
152	8294	45917
153	8338	45808
154	8412	45863
155	8472	45839
156	8523	45763
157	8573	45687
158	8619	45593
159	8683	45586
160	8734	45514
161	8776	45400
162	8810	45239
163	8850	45116
164	8895	45018
165	8941	44924
166	8986	44825
167	9023	44687
168	9074	44620
169	9125	44553
170	9168	44446
171	9225	44410
172	9274	44334
173	9320	44246
174	9369	44172
175	9419	44101
176	9477	44069
177	9515	43941
178	9558	43843
179	9584	43662
180	9611	43490
181	9653	43389
182	9691	43267
183	9746	43225
184	9776	43069
185	9812	42944
186	9857	42855
187	9905	42784
188	9953	42710
189	10018	42709
190	10064	42630
191	10102	42515
192	10150	42441
193	10197	42366
194	10248	42307
195	10310	42295
196	10360	42229
197	10407	42156
198	10448	42057
199	10483	41934
200	10544	41914
201	10617	41945
202	10689	41969
203	10748	41941
204	10848	42071
205	10900	42012
206	10940	41912
207	10990	41849
208	11041	41790
209	11111	41800
210	11161	41734
211	11208	41662
212	11248	41561
213	11290	41469
214	11357	41467
215	11386	41327
216	11414	41186
217	11446	41058
218	11477	40930
219	11522	40853
220	11551	40719
221	11613	40699
222	11645	40575
223	11702	40539
224	11748	40466
225	11777	40334
226	11819	40247
227	11885	40243
228	11925	40149
229	11952	40016
230	11988	39911
231	12039	39853
232	12090	39799
233	12149	39772
234	12193	39692
235	12245	39643
236	12294	39581
237	12345	39526
238	12420	39547
239	12468	39483
240	12533	39472
241	12584	39416
242	12639	39374
243	12708	39375
244	12755	39306
245	12820	39294
246	12889	39294
